uuid,libelle,parent
5eb2febe-3a1e-4615-985f-47a552b5e573,"Narratif"
1c41d78c-2308-4a8c-acdf-2cbfc243e56e,"Autobiographie",5eb2febe-3a1e-4615-985f-47a552b5e573
4cfbea8f-b8d4-4b58-aebb-981f83c207da,"Nouvelle",5eb2febe-3a1e-4615-985f-47a552b5e573
bc904eee-2741-4937-9867-f12c0f2780c4,"Conte",5eb2febe-3a1e-4615-985f-47a552b5e573
4cdfbaa8-2b77-4916-aaae-4d54d87863ed,"Fable",5eb2febe-3a1e-4615-985f-47a552b5e573
bad5d732-c95b-402b-bd75-40fd878b918d,"Merveilleux",5eb2febe-3a1e-4615-985f-47a552b5e573
9f485685-cf1a-404e-a7a9-eb29d397a7ee,"Fantastique",5eb2febe-3a1e-4615-985f-47a552b5e573
1a44f5ab-2035-488d-9f19-8c2679d72b0f,"Roman",5eb2febe-3a1e-4615-985f-47a552b5e573
ed101b61-3a04-4f2c-9019-9dc3d66e019f,"Epistolaire",5eb2febe-3a1e-4615-985f-47a552b5e573
128d237a-0fdd-47ee-b72b-7efd24d8a4c3,"Poésie"
ccc45cea-ca20-4496-8775-cb3516fbfce7,"Lyrique",128d237a-0fdd-47ee-b72b-7efd24d8a4c3
701d7561-bb66-47f1-979e-efae2c4773e2,"Texte poétique",128d237a-0fdd-47ee-b72b-7efd24d8a4c3
2dbefe53-269d-4b0e-a887-a0a122c837b4,"Théatre"
bfc208c3-2b54-4a4b-bb89-11ffe0b9f3dc,"Tragédie",2dbefe53-269d-4b0e-a887-a0a122c837b4
f918a3fd-3612-4e43-a7c9-a65e6eeda830,"Comédie",2dbefe53-269d-4b0e-a887-a0a122c837b4
9e7fa3c5-9883-46ef-8af0-0f9fb4e401c7,"Drame",2dbefe53-269d-4b0e-a887-a0a122c837b4
d5f0c944-36ff-481e-a6ea-72ceab925a0f,"Argumentatif"
caccf5ce-d345-477f-84a3-4b2dc75a358b,"Argumentation",2dbefe53-269d-4b0e-a887-a0a122c837b4